org,cmpnd,log_slope
Pelobacter propionicus DSM 2379,Butoxy,1.7593447564429683
Pelobacter propionicus DSM 2379,heptynoate,1.195013776934808
Plantibacter sp. VKM Ac-1784,7Ph heptanoate,1.5267556998475484
Plantibacter sp. VKM Ac-1784,ClPh propionate,1.5720484126292744
Plantibacter sp. VKM Ac-1784,heptynoate,2.1184512845741104
Pseudoxanthomonas,7Ph heptanoate,1.2727844584290782
Pseudoxanthomonas,Azido,2.004031451437656
Pseudoxanthomonas,dodecanoate,1.628171728133958
Pseudoxanthomonas,heptynoate,2.155341924827609
Pseudoxanthomonas,hexanoate,1.9432510794538944
Psychromonas aquimarina,heptynoate,1.5938129647000259
Rothia mucilaginosa,heptynoate,1.7153663858100052
Rothia mucilaginosa,hexanoate,1.2303601708287755
Saccharothrix espanaensis,heptynoate,1.1859310260614724
Saccharothrix espanaensis,hexanoate,1.4181897507425727
Sandaracinus amylolyticus,7Ph heptanoate,1.4623010922035378
Sandaracinus amylolyticus,Azido,1.5424241746561314
Sandaracinus amylolyticus,heptynoate,1.8269290489476218
Sandaracinus amylolyticus,hexanoate,1.2152665364886983
Sanguibacter keddieii,7Ph heptanoate,1.463634243731176
Sanguibacter keddieii,Azido,1.3606880184371102
Sanguibacter keddieii,heptynoate,1.9614826582132066
Sediminihabitans luteus,7Ph heptanoate,1.574816959515765
Sediminihabitans luteus,heptynoate,1.9697846482836405
Sediminihabitans luteus,hexanoate,1.4365370195054814
