Time,variable,value
6,D4.1,0.7031412892550257
7,D4.1,0.7242133468194507
8,D4.1,0.8573000261737138
9,D4.1,0.8916807516735656
10,D4.1,0.897226029979993
11,D4.1,0.9426973120927
12,D4.1,0.9881685942054061
13,D4.1,0.8839173620445662
14,D4.1,0.9604422026732684
15,D4.1,0.8439913582382874
16,D4.1,0.9293886441572732
17,D4.1,0.9471335347378416
18,D4.1,1.0225493197052589
19,D4.1,0.9560059800281251
20,D4.1,0.9260614771734166
21,D4.1,0.9304976998185599
22,D4.1,0.9593331470119826
23,D4.1,0.9903867055279778
24,D4.1,1.0048044291246891
25,D4.1,1.0314217649955415
26,D4.1,1.0547119338825377
27,D4.1,1.0547119338825381
28,D4.1,1.0536028782212528
29,D4.1,1.065802490495392
30,D4.1,1.0502757112373966
31,D4.1,1.0813292697533905
32,D4.1,1.0813292697533905
33,D4.1,1.1101647169468145
34,D4.1,1.0802202140921051
35,D4.1,1.0968560490113863
36,D4.1,1.0968560490113877
37,D4.1,1.1046194386403854
38,D4.1,1.0946379376888165
39,D4.1,1.1057284943016716
40,D4.1,1.1068375499629584
41,D4.1,1.1168190509145286
42,D4.1,1.1268005518660966
43,D4.1,1.1345639414950965
44,D4.1,1.1334548858338103
45,D4.1,1.127909607527382
46,D4.1,1.137891108478951
47,D4.1,1.1545269433982357
48,D4.1,1.144545442446665
49,D4.1,1.1334548858338107
50,D4.1,1.1390001641402385
51,D4.1,1.1401092198015235
52,D4.1,1.1356729971563801
53,D4.1,1.1256914962048112
54,D4.1,1.134563941495097
55,D4.1,1.14565449810795
56,D4.1,1.1645084443498046
57,D4.1,1.1456544981079508
58,D4.1,1.135672997156382
59,D4.1,1.1611812773659498
60,D4.1,1.1545269433982366
0,E4.1,0.40369626070793174
1,E4.1,0.2672824143698125
2,E4.1,0.1774489058056843
3,E4.1,0.12421423406397958
4,E4.1,0.2495375237892432
5,E4.1,0.27615485966009556
6,E4.1,0.3149718078050898
7,E4.1,0.39593287107893316
8,E4.1,0.42476831827235806
9,E4.1,0.34713442198237043
10,E4.1,0.32828047574051666
11,E4.1,0.31275369648251905
12,E4.1,0.3726427021919374
13,E4.1,0.5101656041913434
14,E4.1,0.4791120456753486
15,E4.1,0.4702396003850642
16,E4.1,0.5068384372074863
17,E4.1,0.4669124334012076
18,E4.1,0.4946388249333471
19,E4.1,0.5534187749814787
20,E4.1,0.5600731089491919
21,E4.1,0.5423282183686253
22,E4.1,0.5378919957234807
23,E4.1,0.5256923834493401
24,E4.1,0.5390010513847674
25,E4.1,0.5245833277880556
26,E4.1,0.5367829400621957
27,E4.1,0.5068384372074868
28,E4.1,0.5068384372074872
29,E4.1,0.5101656041913429
30,E4.1,0.4879844909656339
31,E4.1,0.5101656041913434
32,E4.1,0.5090565485300567
33,E4.1,0.5001841032397736
34,E4.1,0.47356676736892034
35,E4.1,0.4669124334012067
36,E4.1,0.4846573239817764
37,E4.1,0.4857663796430609
38,E4.1,0.4680214890624921
39,E4.1,0.4780029900140619
40,E4.1,0.46913054472377924
41,E4.1,0.4602580994334948
42,E4.1,0.4580399881109227
43,E4.1,0.47689393435277827
44,E4.1,0.4857663796430618
45,E4.1,0.4768939343527765
46,E4.1,0.48243921265920386
47,E4.1,0.48354826832049014
48,E4.1,0.4624762107560647
49,E4.1,0.4735667673689212
50,E4.1,0.4946388249333471
51,E4.1,0.4469494314980671
52,E4.1,0.47467582303020617
53,E4.1,0.46913054472377835
54,E4.1,0.4757848786914929
55,E4.1,0.45582187678835195
56,E4.1,0.47800299001406277
57,E4.1,0.475784878691492
58,E4.1,0.4624762107560665
59,E4.1,0.4768939343527774
60,E4.1,0.4680214890624934
0,F4.1,0.3737517578532219
1,F4.1,0.22402924357967668
2,F4.1,0.18521229543468287
3,F4.1,0.0765248406287018
4,F4.1,0.226247354902247
5,F4.1,0.2916816389180936
6,F4.1,0.3304985870630879
7,F4.1,0.3693155352080808
8,F4.1,0.42476831827235806
9,F4.1,0.3815151474822218
10,F4.1,0.32273519743408885
11,F4.1,0.26062808040210017
12,F4.1,0.34048008801465723
13,F4.1,0.30499030685352047
14,F4.1,0.27726391532138184
15,F4.1,0.2129386869668224
16,F4.1,0.20517529733782247
17,F4.1,0.16857646051540032
18,F4.1,0.149722514273547
19,F4.1,0.10757839914469569
20,F4.1,0.12088706708012209
21,F4.1,0.08317917459641544
22,F4.1,0.08650634158027115
23,F4.1,0.09094256422541358
24,F4.1,0.09759689819312589
25,F4.1,0.05988900570941835
26,F4.1,-0.03216261417728106
27,F4.1,-0.1408500689832617
28,F4.1,-0.1807760727895409
29,F4.1,-0.15083156993483193
30,F4.1,-0.18964851807982486
31,F4.1,-0.21848396527324887
32,F4.1,-0.24731941246667333
33,F4.1,-0.28391824928909504
34,F4.1,-0.3316076427243728
35,F4.1,-0.3205170861115181
36,F4.1,-0.3016631398696643
37,F4.1,-0.30720841817609257
38,F4.1,-0.33271669838565954
39,F4.1,-0.34713442198237177
40,F4.1,-0.4092415390143591
41,F4.1,-0.4780029900140623
42,F4.1,-0.5401101070460532
43,F4.1,-0.5567459419653344
44,F4.1,-0.5900176118039009
45,F4.1,-0.5999991127554716
46,F4.1,-0.6399251165617521
47,F4.1,-0.6609971741261753
48,F4.1,-0.6831782873518857
49,F4.1,-0.7031412892550253
50,F4.1,-0.721995235496879
51,F4.1,-0.7563759609967309
52,F4.1,-0.7663574619483007
53,F4.1,-0.7852114081901549
54,F4.1,-0.7940838534804389
55,F4.1,-0.8306826903028619
56,F4.1,-0.8351189129480039
57,F4.1,-0.847318525222144
58,F4.1,-0.881699250721995
59,F4.1,-0.8972260299799917
60,F4.1,-0.9205161988669892
0,G4.1,-0.03438072549985227
1,G4.1,-0.0964878425318414
2,G4.1,-0.14306818030583335
3,G4.1,-0.11090556612855273
4,G4.1,0.01663583491928211
5,G4.1,0.16857646051539943
6,G4.1,0.2484284681279587
7,G4.1,0.35711592293393934
8,G4.1,0.4735667673689212
9,G4.1,0.534564828739625
10,G4.1,0.6055443910618994
11,G4.1,0.6410341722230366
12,G4.1,0.676523953384172
13,G4.1,0.7297586251258785
14,G4.1,0.7175590128517371
15,G4.1,0.7053594005775965
16,G4.1,0.7275405138033069
17,G4.1,0.7408491817387333
18,G4.1,0.7441763487225908
19,G4.1,0.7364129590935904
20,G4.1,0.7530487940128738
21,G4.1,0.7696846289321586
22,G4.1,0.7597031279805866
23,G4.1,0.7519397383515889
24,G4.1,0.7530487940128738
25,G4.1,0.7486125713677323
26,G4.1,0.7508306826903022
27,G4.1,0.7153409015291676
28,G4.1,0.7042503449163111
29,G4.1,0.7219952354968795
30,G4.1,0.6842873430131715
31,G4.1,0.6975960109485979
32,G4.1,0.6909416769808838
33,G4.1,0.6465794505294635
34,G4.1,0.61774400333604
35,G4.1,0.6221802259811802
36,G4.1,0.6288345599488938
37,G4.1,0.6232892816424664
38,G4.1,0.5877995004813292
39,G4.1,0.5922357231264717
40,G4.1,0.5678364985781905
41,G4.1,0.5611821646104787
42,G4.1,0.5434372740299085
43,G4.1,0.5645093315943353
44,G4.1,0.5512006636589071
45,G4.1,0.5489825523363363
46,G4.1,0.5234742721267684
47,G4.1,0.5079474928687726
48,G4.1,0.5035112702236297
49,G4.1,0.5112746598526292
50,G4.1,0.5223652164654844
